Korean,English
강수량,Precipitation
교대,rotation
구청,Ward office
국내외,Domestic and abroad
금지되다,Be forbidden
기도하다,Pray
기성,Beam
깨뜨리다,Break
꼼짝,Rusting
남학생,boy
농사일,Farming
농장,Farm
데이트,date
되돌아가다,Revert
두부,tofu
들이켜다,Stalk
따라다니다,Follow
라운드,round
마음가짐,mental attitude
바퀴,wheel
번개,Lightning
변화되다,Change
부러워하다,envy
부재,absence
생,raw
서늘하다,Cool
성경,Bible
소요되다,Take
소화하다,Digest
순간적,Instantaneous
시집가다,Pestle
시청,City Hall
싶어지다,Fetch
씌우다,sheathe
야간,Nighttime
엇갈리다,Stagger
엷다,Faint
오락,game
오른손,right hand
우아하다,elegant
이것저것,this and that
이슬,Dew
인간관계,Relationships
장기간,Long period
저자,author
전선,wire
정지,stop
제의하다,Propose
조명,light
조화되다,Harmonize
줄거리,summary
중단,stop
차선,Lane
착각하다,Mistake
초상화,portrait
출장,business trip
쿠데타,Coup d'etat
퇴근,leave work
특수성,distinctiveness
항공기,aircraft
활발히,Actually
회화,conversation
흥미롭다,Interesting
가져다주다,Fetch
각오,Resolution
개방되다,Open
겨자,mustard
경고하다,Warn
경제학,economics
골프,golf
관심사,Interest
구별되다,Distinguish
국사,Tract
굳히다,bind
귀국,Return
그간,In that
그럴듯하다,Plain
극작가,playwright
기,energy
기울다,slant
기적,miracle
끌리다,traipse
내보내다,Fiddle
담,wall
동서,cohabitation
들여놓다,Stump
따스하다,Warm
말투,speech
명령어,command
목욕탕,baths
미끄러지다,slip
바닷물,sea ​​water
변신,transform
부친,Sterling
붙잡히다,Caught
브랜드,brand
빨다,suck
사무,Affairs
사소하다,Trivialize
상,award
상쾌하다,Refresh
성,Castle
손길,Hand
순위,ranking
식사하다,have a meal
쌍,pair
썰렁하다,Waste
암시,suggestion
앞날,In front of
역사상,Historical
연주,play
우울하다,Depressed
우체국,post office
울리다,make cry
육상,Athletics
음주,Drinking
이별,farewell
인재,Human Resources
인종,race
일시적,temporary
재밌다,fun
전문적,Professional
젊음,youth
점잖다,Give it to
조개,clam
주무시다,sleep
중계방송,Relay
중독,Addiction
지급,Payments
진실하다,Truth
차창,Chapter
초청하다,Invite
출발점,starting point
출판,Publishing
출현하다,Emerge
클럽,club
키스,kiss
탈출하다,to escape
판사,judge
허락,allow
확신,assurance
걱정스럽다,Worrisite
건설되다,Construct
고개,head
고프다,Gore
그제야,Yes
금연,no smoking
기성세대,기 세
기술하다,Technical
까치,Magpie
꿈속,Dream
나비,butterfly
남북,Inter-Korean
납득하다,Convinces
단,only
대사관,Embassy
독창적,Unique
되풀이되다,Repeat
떠나가다,Leave
떠들썩하다,Fabricate
뜻대로,Asymis
레스토랑,restaurant
로봇,robot
만점,Score
매달,medal
모여들다,Gather
바깥쪽,Outer
배고프다,hungry
버섯,mushroom
보안,security
뵈다,See
부,wealth
비웃다,Making fun of
비키다,Bicid
사나이,man
사모님,Mrs
삼,three
상징적,Symbolic
색다르다,Mist
세미나,seminar
세제,Detergent
속삭이다,Whisper
시일,seal
